Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Reservas y Puertos;SI022;13,1;;7,6;7,54;;;;;46000;300;300;19;1,3;;;;26;;;;;
Playas;BS091;14,7;;7,49;7,9;;;;;15000;2300;9300;3,5;8;;;;30;;;;;
Arroyos;TI009;14,9;;6,36;7,8;;;;;110000;1500;24000;23;5;;;;28;;;;;
Arroyos;TI009;14,5;13;5,77;7,8;;;;;21000;900;9300;2;4;;;;23;;;;;
Reservas y Puertos;SI022;14,6;15;8,15;7,9;;;;;110000;900;9300;5,5;3;;;;36;;;;;
Costaneras;VL031;14,6;;5,72;7,7;;;;;110000;700;110000;17;3,8;;;;28;;;;;
Reservas y Puertos;SI022;12,5;7;9,4;;;;;;9300;900;4800;3,5;1,5;;;;32;;;;;
Balnearios;BS092;11,3;7;9,2;;;;;;46000;300;4800;16;0,9;;;;41;;;;;
Reservas y Puertos;SI022;11,3;5;9,59;7,85;;;;;110000;300;4800;4;3;;;;27;;;;;
TOMA DE AGUA;EN082;11,9;5;9,26;7,73;;;;;21000;300;900;8;2,5;;;;24;;;;;
Arroyos;TI009;13,5;5;7,42;1,09;;;;;24000;900;24000;5;6,2;;;;35;;;;;
Reservas y Puertos;SI022;13,1;5;9,27;7,78;;;;;2100;300;900;16;1;;;;23;;;;;
Balnearios;BS092;11,21;4;9,9;7,58;;;;;2000;400;900;3;0,6;;;;83;;;;;
Balnearios;BS092;9;4;9,66;7,82;;;;;21000;400;900;9;3,2;;;;32;;;;;
Berisso;BS095;9;4;5,67;6,71;;;;;15000;2300;2300;;7;;;;;;;;;
Canales;TI001;;;;;;;;;2400;790;2400;;;;;;70;;;;;
Canales;TI001;;;;;;;;;17200;2400;2400;;;;;;66;;;;;
Rios;TI006;;;;;;;;;;;;;;;;;65;;;;;
Rios;TI006;;;;;;;;;16900;9200;9200;;;;;;;;;;;
Rios;TI006;;;;;;;;;34800;17200;34800;;;;;;;;;;;
Rios;TI006;;;;;;;;;160900;160900;160900;;;;;;;;;;;
Costaneras;VL031;16;;;;;;;;17200;17200;17200;8;0,116;;;;72;;;;;
